platform, dataset_size, operation_type, job_id                                    , duration_seconds, mb_processed            , total_slots_ms, avg_slot_utilization , table_id                                , row_count, cost_usd, timestamp
BigQuery, tiny        , LOAD          , bqjob_r437fe0f576e680ca_0000019796ac7eeb_1,            1.586,    0.04248046875        ,          245  ,  0.1544766708701135  , organizations                           ,       283,         , 2025-06-22 08:06:17
BigQuery, tiny        , LOAD          , bqjob_r114b800e5820542c_0000019796ac9650_1,            1.789,    0.032344818115234375 ,          105  ,  0.05869200670765791 , patients                                ,       116,         , 2025-06-22 08:06:23
BigQuery, tiny        , LOAD          , bqjob_r67490664303595ce_0000019796acb106_1,            1.565,    0.1767406463623047   ,           81  ,  0.05175718849840256 , payer_transitions                       ,      1158,         , 2025-06-22 08:06:29
BigQuery, tiny        , LOAD          , bqjob_r27b4a49c822f6f5_0000019796acca3b_1 ,            1.473,    0.001651763916015625 ,          100  ,  0.06788866259334692 , payers                                  ,        10,         , 2025-06-22 08:06:36
BigQuery, tiny        , LOAD          , bqjob_r4739a08844fabb71_0000019796ace4c3_1,            2.328,    3.815567970275879    ,          384  ,  0.16494845360824742 , procedures                              ,     20252,         , 2025-06-22 08:06:43
BigQuery, tiny        , LOAD          , bqjob_r5a15495a851f8342_0000019796acff44_1,            1.52 ,    0.05170154571533203  ,          125  ,  0.08223684210526316 , providers                               ,       283,         , 2025-06-22 08:06:49
BigQuery, tiny        , LOAD          , bqjob_r556913fe5fef67b3_0000019796ad1925_1,            1.51 ,    0.49335765838623047  ,           85  ,  0.056291390728476824, supplies                                ,      3603,         , 2025-06-22 08:06:56
BigQuery, tiny        , QUERY_COST    , SUMMARY                                   ,            0.0  ,   12.263537406921387    ,            0.0,  0.0                 , QUERY_TOTAL                             ,          , 0.000077, 2025-06-22 08:13:11
BigQuery, tiny        , QUERY         , bqjob_r463b5ce953024ba0_0000019796b225ff_1,            1.089,    0.6617965698242188   ,            0  ,  0                   , anon8627bfec_4029_4372_9573_47758271237c,         0,         , 2025-06-22 08:12:28
BigQuery, tiny        , QUERY         , bqjob_r30dd5d030cfb13ba_0000019796b24c69_1,            1.834,    1.069253921508789    ,            0  ,  0                   , anon64c6f318_2d17_4b55_bafc_e1461441f52d,         0,         , 2025-06-22 08:12:37
BigQuery, tiny        , QUERY         , bqjob_r577174b22a267077_0000019796b2745a_1,            1.33 ,    0.36352062225341797  ,            0  ,  0                   , anon407895be_9179_423b_ad61_11f90ce44743,         0,         , 2025-06-22 08:12:47
BigQuery, tiny        , QUERY         , bqjob_r70753d2c1862af3c_0000019796b29a56_1,            1.848,   10.168966293334961    ,            0  ,  0                   , anond4e4a68f_f837_4ab9_be4f_57e9607365df,         0,         , 2025-06-22 08:12:57
BigQuery, tiny        , TRANSFORM_COST, SUMMARY                                   ,            0.0  ,    4.744104385375977    ,            0.0,  0.0                 , TRANSFORM_TOTAL                         ,          , 0.000030, 2025-06-22 08:15:13
BigQuery, tiny        , TRANSFORM     , bqjob_r21fbfdf86233ee39_0000019796b3de27_1,            1.104,    0.011189460754394531 ,            0  ,  0                   , patients_clean                          ,         0,         , 2025-06-22 08:14:20
BigQuery, tiny        , TRANSFORM     , bqjob_r13a0b44cd55a4f81_0000019796b41297_1,            1.368,    0.9173469543457031   ,            0  ,  0                   , medications_normalized                  ,         0,         , 2025-06-22 08:14:33
BigQuery, tiny        , TRANSFORM     , bqjob_r6b910647e33c7a18_0000019796b44beb_1,            1.378,    3.815567970275879    ,            0  ,  0                   , procedures_enriched                     ,         0,         , 2025-06-22 08:14:48
BigQuery, small       , LOAD_COST     , SUMMARY                                   ,            0.0  ,  508.3075828552246      ,            0.0,  0.0                 , LOAD_TOTAL                              ,          , 0.003198, 2025-06-22 08:29:21
BigQuery, small       , LOAD          , bqjob_r3c766f5754fa3820_0000019796bf4727_1,            1.618,    0.5855064392089844   ,          234  ,  0.1446229913473424  , allergies                               ,      5417,         , 2025-06-22 08:26:48
BigQuery, small       , LOAD          , bqjob_r79bc86a9989c7f1f_0000019796bf64c1_1,            2.329,    7.084933280944824    ,          903  ,  0.3877200515242593  , careplans                               ,     37715,         , 2025-06-22 08:26:55
BigQuery, small       , LOAD          , bqjob_r3240c4b7f9e9aa69_0000019796bf7f8b_1,            2.526,   13.05180549621582     ,          984  ,  0.38954869358669836 , conditions                              ,    114544,         , 2025-06-22 08:27:02
BigQuery, small       , LOAD          , bqjob_r4aaf44be587ca164_0000019796bf9a6b_1,            1.617,    0.48190784454345703  ,          159  ,  0.09833024118738404 , devices                                 ,      2360,         , 2025-06-22 08:27:09
BigQuery, small       , LOAD          , bqjob_r15d64c154ea59d6_0000019796bfb0a8_1 ,            6.713,   89.40055561065674     ,         7310  ,  1.0889319231342172  , encounters                              ,    321528,         , 2025-06-22 08:27:14
BigQuery, small       , LOAD          , bqjob_r484bc04a6fd35528_0000019796bfddcc_1,            1.574,    1.0201406478881836   ,          181  ,  0.11499364675984752 , imaging_studies                         ,      4504,         , 2025-06-22 08:27:26
BigQuery, small       , LOAD          , bqjob_r5c2533e4ab793783_0000019796bff7c8_1,            1.861,    2.205556869506836    ,          375  ,  0.2015045674368619  , immunizations                           ,     16481,         , 2025-06-22 08:27:33
BigQuery, small       , LOAD          , bqjob_r3116dc8773e3e82f_0000019796c011b6_1,            7.138,  100.4282636642456      ,         6059  ,  0.8488372093023255  , medications                             ,    431262,         , 2025-06-22 08:27:40
BigQuery, small       , LOAD          , bqjob_r2df3307f0abc90d4_0000019796c041c7_1,            8.32 ,  244.97584056854248     ,        16035  ,  1.9272836538461537  , observations                            ,   1659750,         , 2025-06-22 08:27:52
BigQuery, small       , LOAD          , bqjob_r6ca7f78d7853baab_0000019796c07413_1,            1.797,    0.7596950531005859   ,          229  ,  0.12743461324429606 , organizations                           ,      5499,         , 2025-06-22 08:28:05
BigQuery, small       , LOAD          , bqjob_r6376c3c7fcd0e04d_0000019796c090f8_1,            2.038,    3.117563247680664    ,          713  ,  0.34985279685966636 , patients                                ,     12352,         , 2025-06-22 08:28:12
BigQuery, small       , LOAD          , bqjob_re7061fc0d5087a2_0000019796c0a3ad_1 ,            1.819,    3.8941822052001953   ,          534  ,  0.29356789444749865 , payer_transitions                       ,     41392,         , 2025-06-22 08:28:17
BigQuery, small       , LOAD          , bqjob_r495c77ba63954dc_0000019796c0b877_1 ,            1.495,    0.0020580291748046875,          181  ,  0.12107023411371237 , payers                                  ,        10,         , 2025-06-22 08:28:22
BigQuery, small       , LOAD          , bqjob_rfe0de42ae3178b1_0000019796c0e0dc_1 ,            3.073,   15.559304237365723    ,         2575  ,  0.8379433778067036  , procedures                              ,    100427,         , 2025-06-22 08:28:34
BigQuery, small       , LOAD          , bqjob_r12e72d77a4604c56_0000019796c101ab_1,            2.21 ,    5.648037910461426    ,          682  ,  0.3085972850678733  , providers                               ,     31764,         , 2025-06-22 08:28:41
BigQuery, small       , LOAD          , bqjob_r6b1cbd1c11b3ecad_0000019796c1171e_1,            2.679,   20.09223175048828     ,          984  ,  0.3673012318029115  , supplies                                ,    143110,         , 2025-06-22 08:28:46
BigQuery, small       , QUERY_COST    , SUMMARY                                   ,            0.0  ,  276.74086570739746     ,            0.0,  0.0                 , QUERY_TOTAL                             ,          , 0.001741, 2025-06-22 09:04:46
BigQuery, small       , QUERY         , bqjob_r6d643d49c9233823_0000019796e0f508_1,            1.52 ,   32.51558971405029     ,            0  ,  0                   , anon44c6b8f3_382e_42cf_aae8_a730f8a76a90,         0,         , 2025-06-22 09:03:35
BigQuery, small       , QUERY         , bqjob_r4c26abebdce59f82_0000019796e11891_1,            9.873,   72.23731327056885     ,            0  ,  0                   , anonf6d91174_0918_4f00_ae38_082a25142405,         0,         , 2025-06-22 09:03:44
BigQuery, small       , QUERY         , bqjob_r79ad28dcdea54f30_0000019796e15978_1,            1.935,    8.419389724731445    ,            0  ,  0                   , anon26ab51c3_6894_4b71_a250_aaddf2bd04f4,         0,         , 2025-06-22 09:04:00
BigQuery, small       , QUERY         , bqjob_r177cacf87592234f_0000019796e17d17_1,           24.524,  163.56857299804688     ,            0  ,  0                   , anonb012398f_3685_4c93_807e_b993a4b09dae,         0,         , 2025-06-22 09:04:09
BigQuery, small       , TRANSFORM_COST, SUMMARY                                   ,            0.0  ,   93.35014629364014     ,            0.0,  0.0                 , TRANSFORM_TOTAL                         ,          , 0.000587, 2025-06-22 09:30:42
BigQuery, small       , TRANSFORM     , bqjob_r2e026f0fae5791c2_0000019796f8f663_1,            1.302,    1.1501226425170898   ,            0  ,  0                   , patients_clean                          ,         0,         , 2025-06-22 09:29:48
BigQuery, small       , TRANSFORM     , bqjob_r173e1485f020c0fc_0000019796f92d60_1,            4.747,   76.64071941375732     ,            0  ,  0                   , medications_normalized                  ,         0,         , 2025-06-22 09:30:02
BigQuery, small       , TRANSFORM     , bqjob_r68fc1a6e453cce37_0000019796f96e7e_1,            2.027,   15.559304237365723    ,            0  ,  0                   , procedures_enriched                     ,         0,         , 2025-06-22 09:30:19
BigQuery, medium      , LOAD_COST     , SUMMARY                                   ,            0.0  ,  965.3262481689453      ,            0.0,  0.0                 , LOAD_TOTAL                              ,          , 0.006073, 2025-06-22 09:48:30
BigQuery, medium      , LOAD          , bqjob_r63fd6d5065cafff0_000001979707af5e_1,            1.679,    0.35203075408935547  ,          282  ,  0.1679571173317451  , allergies                               ,      2111,         , 2025-06-22 09:45:53
BigQuery, medium      , LOAD          , bqjob_r53ae6e82d48425ba_000001979707c859_1,            1.581,    1.1079978942871094   ,          702  ,  0.444022770398482   , careplans                               ,      5875,         , 2025-06-22 09:45:59
BigQuery, medium      , LOAD          , bqjob_r727eb41adc0b7cc8_000001979707de24_1,            6.753,   55.07740783691406     ,        11831  ,  1.7519620909225528  , claims                                  ,    159848,         , 2025-06-22 09:46:05
BigQuery, medium      , LOAD          , bqjob_r73a1bf907e912da2_000001979708055e_1,           11.11 ,  589.8048105239868      ,       102226  ,  9.2012601260126     , claims_transactions                     ,   1319937,         , 2025-06-22 09:46:15
BigQuery, medium      , LOAD          , bqjob_r647b159865fe1dfb_0000019797083fc2_1,            2.557,    7.455197334289551    ,         1555  ,  0.6081345326554556  , conditions                              ,     55599,         , 2025-06-22 09:46:30
BigQuery, medium      , LOAD          , bqjob_r3eb9dbe03872bd16_00000197970854c5_1,            1.688,    1.6339292526245117   ,          376  ,  0.22274881516587677 , devices                                 ,      8315,         , 2025-06-22 09:46:35
BigQuery, medium      , LOAD          , bqjob_r3a1f18ed17a38340_0000019797086a2e_1,            3.461,   25.960620880126953    ,         1466  ,  0.4235770008668015  , encounters                              ,     86474,         , 2025-06-22 09:46:40
BigQuery, medium      , LOAD          , bqjob_r596304de1fda6085_0000019797088360_1,            4.881,   56.6981258392334      ,         3852  ,  0.7891825445605408  , imaging_studies                         ,    176994,         , 2025-06-22 09:46:47
BigQuery, medium      , LOAD          , bqjob_ra0003e2def33e07_000001979708a027_1 ,            2.063,    2.4866771697998047   ,          374  ,  0.18128938439166262 , immunizations                           ,     18088,         , 2025-06-22 09:46:54
BigQuery, medium      , LOAD          , bqjob_r746eed3c1f2814b9_000001979708b959_1,            3.18 ,   17.52006721496582     ,         1675  ,  0.5267295597484277  , medications                             ,     73374,         , 2025-06-22 09:47:01
BigQuery, medium      , LOAD          , bqjob_r1ad23463ce7767fc_000001979708d3bd_1,            7.023,  161.8717393875122      ,         9280  ,  1.321372632778015   , observations                            ,    987416,         , 2025-06-22 09:47:09
BigQuery, medium      , LOAD          , bqjob_r25754a707cbbee3_000001979708fe95_1 ,            1.558,    0.14573287963867188  ,          102  ,  0.06546854942233633 , organizations                           ,       974,         , 2025-06-22 09:47:18
BigQuery, medium      , LOAD          , bqjob_r75b9315e0333dd52_00000197970913d6_1,            1.628,    0.6369600296020508   ,          202  ,  0.12407862407862408 , patients                                ,      2298,         , 2025-06-22 09:47:24
BigQuery, medium      , LOAD          , bqjob_rdfcf0e129fc6274_000001979709261f_1 ,            1.915,    1.9512958526611328   ,          288  ,  0.1503916449086162  , payer_transitions                       ,     12725,         , 2025-06-22 09:47:29
